participant_id,age,trial,risky_reward,safe_reward,reward_diff,choice
0,56,0,24.2,9.18,15.02,0
0,56,1,27.99,5.45,22.54,1
0,56,2,20.65,13.11,7.54,0
0,56,3,17.26,10.94,6.31,0
0,56,4,29.55,13.42,16.13,0
0,56,5,22.03,9.15,12.88,1
0,56,6,15.85,13.65,2.2,0
0,56,7,30.0,14.97,15.03,0
0,56,8,26.53,14.45,12.09,0
0,56,9,18.71,9.51,9.2,1
1,69,0,29.31,11.06,18.25,0
1,69,1,25.08,11.18,13.89,0
1,69,2,16.7,11.72,4.99,0
1,69,3,26.58,10.2,16.38,0
1,69,4,23.28,10.61,12.67,0
1,69,5,21.05,6.34,14.71,1
1,69,6,26.33,11.2,15.12,0
1,69,7,18.19,6.36,11.83,1
1,69,8,20.26,10.9,9.36,0
1,69,9,21.56,14.04,7.52,0
2,46,0,22.71,12.84,9.87,1
2,46,1,24.33,13.62,10.71,0
2,46,2,17.21,14.27,2.94,0
2,46,3,18.87,9.59,9.28,0
2,46,4,22.39,8.29,14.1,0
2,46,5,18.6,5.76,12.84,1
2,46,6,16.92,6.52,10.4,1
2,46,7,24.61,6.82,17.79,1
2,46,8,28.45,9.74,18.71,0
2,46,9,17.58,6.92,10.66,1
3,32,0,17.53,7.79,9.75,1
3,32,1,16.33,6.21,10.12,1
3,32,2,18.1,8.64,9.45,1
3,32,3,25.36,5.39,19.96,0
3,32,4,24.42,5.82,18.6,0
3,32,5,28.81,5.61,23.2,1
3,32,6,27.09,12.48,14.61,1
3,32,7,18.14,8.7,9.44,1
3,32,8,24.27,8.69,15.58,1
3,32,9,26.21,5.37,20.85,1
4,60,0,25.7,13.95,11.75,0
4,60,1,22.98,6.07,16.91,0
4,60,2,22.99,7.42,15.56,1
4,60,3,20.66,5.2,15.46,0
4,60,4,18.17,8.27,9.9,1
4,60,5,28.36,10.94,17.42,0
4,60,6,26.84,9.98,16.85,1
4,60,7,23.06,10.87,12.19,0
4,60,8,21.47,6.28,15.2,1
4,60,9,20.45,11.46,8.99,0
5,25,0,20.34,14.87,5.48,1
5,25,1,18.56,6.02,12.54,1
5,25,2,18.69,6.61,12.08,1
5,25,3,19.28,6.73,12.54,0
5,25,4,16.2,10.25,5.96,1
5,25,5,29.74,6.12,23.62,1
5,25,6,29.54,13.66,15.89,1
5,25,7,18.87,6.71,12.16,1
5,25,8,28.94,10.57,18.37,1
5,25,9,19.2,12.69,6.5,1
6,78,0,19.86,9.25,10.6,0
6,78,1,18.64,6.15,12.49,0
6,78,2,19.33,10.81,8.52,0
6,78,3,22.22,10.33,11.89,0
6,78,4,20.05,6.34,13.7,0
6,78,5,29.85,8.22,21.63,0
6,78,6,18.82,11.82,7.0,0
6,78,7,23.93,9.72,14.22,0
6,78,8,20.23,14.3,5.94,0
6,78,9,29.48,6.24,23.23,0
7,38,0,29.08,6.81,22.26,1
7,38,1,26.12,10.74,15.37,0
7,38,2,17.1,12.95,4.14,1
7,38,3,17.45,6.64,10.81,0
7,38,4,24.98,10.23,14.75,1
7,38,5,28.16,8.92,19.23,0
7,38,6,21.59,8.77,12.82,1
7,38,7,19.52,12.48,7.04,1
7,38,8,18.48,14.0,4.49,1
7,38,9,23.15,14.06,9.09,1
8,56,0,16.75,14.4,2.36,0
8,56,1,20.02,6.39,13.63,0
8,56,2,24.3,10.33,13.97,0
8,56,3,26.83,6.52,20.31,1
8,56,4,18.73,12.44,6.29,1
8,56,5,23.55,12.62,10.92,0
8,56,6,20.13,13.21,6.92,1
8,56,7,27.7,6.27,21.42,0
8,56,8,26.96,6.5,20.46,1
8,56,9,25.83,12.2,13.63,0
9,75,0,25.41,10.43,14.98,0
9,75,1,20.19,6.82,13.37,0
9,75,2,23.75,9.01,14.74,0
9,75,3,29.21,6.53,22.68,0
9,75,4,22.59,11.11,11.47,1
9,75,5,28.08,14.32,13.76,0
9,75,6,25.45,14.22,11.22,0
9,75,7,17.29,10.76,6.53,0
9,75,8,21.36,12.36,9.0,0
9,75,9,28.88,9.51,19.38,0
10,36,0,29.77,13.39,16.38,1
10,36,1,28.81,13.7,15.11,1
10,36,2,23.87,8.99,14.88,1
10,36,3,20.03,13.03,7.0,1
10,36,4,20.0,8.98,11.02,1
10,36,5,28.8,8.46,20.33,1
10,36,6,26.06,9.52,16.54,1
10,36,7,21.79,6.41,15.38,1
10,36,8,22.48,9.19,13.29,0
10,36,9,20.44,10.81,9.63,1
11,40,0,15.2,11.64,3.56,1
11,40,1,29.42,6.49,22.93,1
11,40,2,16.28,14.97,1.31,0
11,40,3,23.93,5.67,18.26,0
11,40,4,18.15,13.98,4.17,1
11,40,5,17.86,5.37,12.49,1
11,40,6,23.47,5.66,17.82,0
11,40,7,21.8,10.24,11.56,1
11,40,8,21.01,10.6,10.42,1
11,40,9,17.73,13.62,4.11,0
12,28,0,20.6,7.71,12.89,1
12,28,1,21.13,5.25,15.88,1
12,28,2,25.74,11.59,14.15,1
12,28,3,18.33,7.31,11.02,1
12,28,4,15.3,6.04,9.25,0
12,28,5,17.68,11.53,6.15,1
12,28,6,16.49,7.43,9.06,1
12,28,7,27.84,13.3,14.53,1
12,28,8,25.02,7.05,17.97,1
12,28,9,28.45,5.13,23.32,1
13,28,0,18.12,5.27,12.85,1
13,28,1,23.75,9.21,14.53,0
13,28,2,27.26,8.42,18.84,1
13,28,3,20.7,10.9,9.79,1
13,28,4,24.36,9.09,15.27,1
13,28,5,21.54,7.94,13.6,0
13,28,6,26.45,6.4,20.05,0
13,28,7,22.31,13.95,8.37,0
13,28,8,21.38,5.22,16.15,1
13,28,9,23.12,11.33,11.79,1
14,41,0,17.09,13.35,3.74,0
14,41,1,22.89,6.72,16.17,1
14,41,2,15.28,14.14,1.13,1
14,41,3,23.65,7.74,15.91,1
14,41,4,24.77,13.3,11.47,1
14,41,5,15.16,6.37,8.8,0
14,41,6,28.11,10.97,17.13,1
14,41,7,24.98,6.75,18.22,0
14,41,8,21.28,8.83,12.45,1
14,41,9,15.7,6.66,9.04,0
15,70,0,16.24,11.03,5.21,0
15,70,1,20.84,7.89,12.95,0
15,70,2,25.79,7.97,17.81,0
15,70,3,22.14,11.64,10.5,0
15,70,4,25.99,7.15,18.84,1
15,70,5,18.93,10.95,7.98,1
15,70,6,22.45,10.97,11.48,0
15,70,7,26.56,6.07,20.5,1
15,70,8,25.92,9.95,15.97,0
15,70,9,21.52,7.46,14.06,0
16,53,0,26.99,11.95,15.04,1
16,53,1,23.85,8.61,15.24,1
16,53,2,28.76,6.37,22.39,0
16,53,3,21.69,6.85,14.84,0
16,53,4,28.09,12.32,15.77,0
16,53,5,24.88,11.92,12.96,0
16,53,6,18.75,9.89,8.85,1
16,53,7,29.82,14.44,15.37,1
16,53,8,25.58,14.25,11.33,1
16,53,9,23.52,14.15,9.36,1
17,57,0,25.46,7.97,17.49,0
17,57,1,29.57,14.44,15.12,0
17,57,2,27.93,13.45,14.49,1
17,57,3,27.43,5.37,22.06,0
17,57,4,18.45,6.21,12.24,1
17,57,5,25.44,8.4,17.05,0
17,57,6,15.98,8.15,7.83,0
17,57,7,26.86,8.19,18.67,0
17,57,8,28.29,11.16,17.13,1
17,57,9,15.37,13.7,1.67,1
18,41,0,28.12,10.29,17.83,0
18,41,1,26.98,14.98,12.0,1
18,41,2,26.51,9.02,17.49,1
18,41,3,24.41,13.74,10.68,0
18,41,4,26.52,9.18,17.35,1
18,41,5,26.06,7.39,18.68,1
18,41,6,20.32,7.87,12.45,1
18,41,7,18.5,5.42,13.08,1
18,41,8,29.82,9.28,20.54,1
18,41,9,25.19,7.18,18.01,0
19,20,0,26.8,5.89,20.9,1
19,20,1,28.19,14.45,13.74,1
19,20,2,24.2,6.67,17.53,0
19,20,3,18.48,14.43,4.05,1
19,20,4,24.12,10.13,13.99,1
19,20,5,17.65,7.2,10.44,1
19,20,6,26.69,8.5,18.19,1
19,20,7,29.54,13.84,15.7,1
19,20,8,29.92,6.74,23.18,1
19,20,9,26.37,11.96,14.41,1
20,39,0,27.24,7.24,19.99,1
20,39,1,23.05,10.93,12.13,1
20,39,2,16.37,13.77,2.6,1
20,39,3,16.94,13.89,3.06,0
20,39,4,27.93,13.1,14.84,0
20,39,5,23.26,5.87,17.39,1
20,39,6,20.59,7.6,12.99,0
20,39,7,22.44,5.81,16.63,1
20,39,8,25.25,5.76,19.49,0
20,39,9,22.43,9.81,12.62,1
21,70,0,27.37,8.48,18.89,0
21,70,1,23.49,7.67,15.82,0
21,70,2,26.96,11.58,15.38,0
21,70,3,28.01,12.08,15.93,0
21,70,4,25.46,11.8,13.66,0
21,70,5,26.29,6.59,19.7,0
21,70,6,28.08,5.29,22.79,0
21,70,7,16.93,8.35,8.58,0
21,70,8,17.41,13.18,4.23,0
21,70,9,22.61,5.06,17.55,0
22,19,0,24.25,14.81,9.44,1
22,19,1,18.9,11.34,7.56,1
22,19,2,26.7,6.07,20.63,1
22,19,3,23.12,14.63,8.49,1
22,19,4,24.49,14.32,10.17,1
22,19,5,29.06,11.88,17.18,1
22,19,6,19.51,12.08,7.43,1
22,19,7,23.73,8.46,15.27,1
22,19,8,15.69,13.72,1.97,0
22,19,9,29.53,12.5,17.04,1
23,41,0,26.37,5.25,21.13,1
23,41,1,19.85,9.89,9.97,0
23,41,2,25.25,9.46,15.79,1
23,41,3,29.96,9.26,20.7,1
23,41,4,17.45,12.95,4.51,0
23,41,5,18.31,5.82,12.49,0
23,41,6,24.82,7.73,17.09,0
23,41,7,17.27,9.32,7.94,0
23,41,8,21.3,11.39,9.91,1
23,41,9,19.11,14.84,4.27,1
24,61,0,28.41,7.3,21.11,1
24,61,1,15.47,11.52,3.95,0
24,61,2,27.97,9.73,18.23,0
24,61,3,17.78,13.69,4.1,0
24,61,4,26.56,13.45,13.12,0
24,61,5,24.39,6.31,18.08,1
24,61,6,28.81,11.17,17.65,0
24,61,7,22.22,6.17,16.05,1
24,61,8,25.28,9.3,15.98,1
24,61,9,22.37,5.64,16.73,0
25,47,0,19.03,12.98,6.06,1
25,47,1,21.83,5.12,16.71,1
25,47,2,20.89,9.8,11.09,0
25,47,3,19.37,11.95,7.43,0
25,47,4,26.7,5.4,21.3,1
25,47,5,16.57,7.42,9.15,0
25,47,6,17.14,9.99,7.15,0
25,47,7,25.54,10.6,14.94,1
25,47,8,19.9,10.18,9.72,1
25,47,9,20.26,5.33,14.93,1
26,55,0,20.95,6.33,14.63,0
26,55,1,25.34,13.01,12.34,1
26,55,2,17.51,6.05,11.47,0
26,55,3,25.6,5.32,20.28,0
26,55,4,15.78,10.41,5.37,0
26,55,5,28.06,12.14,15.92,0
26,55,6,20.09,13.15,6.94,1
26,55,7,28.42,10.48,17.95,0
26,55,8,21.78,11.44,10.35,0
26,55,9,25.97,5.82,20.16,1
27,19,0,18.71,6.6,12.11,1
27,19,1,18.29,14.76,3.53,1
27,19,2,17.73,12.9,4.83,1
27,19,3,22.47,10.55,11.92,1
27,19,4,18.43,14.96,3.46,0
27,19,5,24.75,7.0,17.76,1
27,19,6,16.08,5.31,10.78,1
27,19,7,21.94,13.68,8.26,1
27,19,8,26.14,9.25,16.89,1
27,19,9,20.57,14.88,5.69,1
28,77,0,28.01,10.79,17.22,0
28,77,1,25.88,9.87,16.01,0
28,77,2,28.51,9.22,19.29,0
28,77,3,23.89,14.12,9.76,0
28,77,4,24.34,11.32,13.03,0
28,77,5,16.97,12.16,4.82,0
28,77,6,17.7,7.38,10.32,0
28,77,7,17.71,13.54,4.17,0
28,77,8,18.71,13.71,5.0,0
28,77,9,22.72,8.59,14.13,0
29,38,0,17.45,8.91,8.54,0
29,38,1,18.87,11.57,7.3,1
29,38,2,26.6,6.31,20.29,0
29,38,3,21.81,7.36,14.45,1
29,38,4,17.55,10.2,7.35,1
29,38,5,27.43,9.31,18.12,1
29,38,6,24.26,12.07,12.19,1
29,38,7,17.51,5.37,12.15,0
29,38,8,24.96,9.75,15.21,0
29,38,9,27.09,10.85,16.23,0
30,50,0,18.09,6.12,11.97,1
30,50,1,15.86,10.31,5.54,0
30,50,2,15.59,6.22,9.37,1
30,50,3,29.01,8.16,20.85,0
30,50,4,15.62,6.48,9.14,0
30,50,5,29.48,5.05,24.43,0
30,50,6,24.59,13.68,10.91,1
30,50,7,22.73,9.89,12.85,0
30,50,8,17.09,5.3,11.8,1
30,50,9,25.57,7.02,18.55,0
31,29,0,29.55,5.94,23.61,1
31,29,1,21.66,13.68,7.97,1
31,29,2,25.39,13.38,12.01,0
31,29,3,25.25,9.97,15.28,1
31,29,4,28.03,10.71,17.33,1
31,29,5,28.96,11.9,17.07,1
31,29,6,18.24,11.59,6.65,1
31,29,7,24.77,6.07,18.7,1
31,29,8,29.99,5.48,24.51,0
31,29,9,21.1,13.71,7.4,0
32,75,0,23.51,12.38,11.12,0
32,75,1,21.06,8.27,12.79,0
32,75,2,27.12,12.62,14.49,0
32,75,3,21.53,13.18,8.36,0
32,75,4,23.17,5.06,18.11,0
32,75,5,20.5,8.96,11.54,0
32,75,6,20.83,9.49,11.34,0
32,75,7,20.6,7.27,13.33,1
32,75,8,24.05,11.68,12.37,0
32,75,9,21.95,8.8,13.15,0
33,39,0,22.79,9.79,12.99,1
33,39,1,20.12,8.8,11.32,1
33,39,2,23.7,10.34,13.37,1
33,39,3,26.47,13.13,13.34,0
33,39,4,29.33,5.18,24.15,1
33,39,5,15.11,11.47,3.64,0
33,39,6,18.65,14.27,4.38,1
33,39,7,29.02,8.52,20.5,1
33,39,8,22.29,7.57,14.72,1
33,39,9,19.61,13.03,6.58,1
34,78,0,19.67,11.1,8.57,0
34,78,1,19.09,9.14,9.95,0
34,78,2,17.72,11.81,5.91,0
34,78,3,22.88,12.09,10.79,0
34,78,4,23.51,7.57,15.94,0
34,78,5,22.25,13.06,9.19,0
34,78,6,15.65,11.33,4.32,0
34,78,7,24.02,13.19,10.83,0
34,78,8,18.42,7.12,11.3,0
34,78,9,21.17,13.4,7.77,0
35,61,0,20.3,7.37,12.93,0
35,61,1,19.12,13.23,5.9,0
35,61,2,25.01,5.96,19.06,0
35,61,3,21.78,10.87,10.91,1
35,61,4,26.05,13.63,12.43,1
35,61,5,16.44,5.24,11.2,0
35,61,6,24.11,10.47,13.64,1
35,61,7,20.86,10.94,9.92,0
35,61,8,29.82,6.36,23.45,0
35,61,9,21.06,9.28,11.78,0
36,42,0,25.39,14.91,10.47,1
36,42,1,16.56,12.24,4.32,0
36,42,2,19.11,5.79,13.32,1
36,42,3,28.41,6.92,21.49,1
